,Date,Bitcoin_Price,Gold_Price,Silver_Price,Oil_Price
0,2021-01-01,29374.152344,1887.6,26.525,53.55
1,2021-01-02,32127.267578,1943.2,27.008,53.55
2,2021-01-03,32782.023438,1943.2,27.008,60.64
3,2021-01-04,31971.914063,1943.2,27.584,61.45
4,2021-01-05,33992.429688,1940.35,27.867,67.72
5,2021-01-06,36824.363281,1931.95,27.27,67.72
6,2021-01-07,39371.042969,1920.1,27.473,75.23
7,2021-01-08,40797.609375,1862.9,24.845,68.59
8,2021-01-09,40254.546875,1847.25,25.133,68.59
9,2021-01-10,38356.441406,1847.25,25.133,75.88
10,2021-01-11,35566.65625,1847.25,25.478,84.05
11,2021-01-12,33922.960938,1841.25,25.637,65.57
12,2021-01-13,37316.359375,1858.85,25.768,52.91
13,2021-01-14,39187.328125,1841.75,25.997,53.57
14,2021-01-15,36825.367188,1839.0,25.054,52.36
15,2021-01-16,36178.140625,1833.05,24.253,52.2
16,2021-01-17,35791.277344,1833.05,24.253,52.2
17,2021-01-18,36630.074219,1833.05,25.045,52.36
18,2021-01-19,36069.804688,1834.7,25.505,52.98
19,2021-01-20,35547.75,1856.6,25.933,53.24
20,2021-01-21,30825.699219,1862.1,26.02,53.13
21,2021-01-22,33005.761719,1852.7,25.717,52.27
22,2021-01-23,32067.642578,1856.85,25.615,52.77
23,2021-01-24,32289.378906,1856.85,25.615,52.77
24,2021-01-25,32366.392578,1856.85,25.65,52.77
25,2021-01-26,32569.849609,1856.6,25.701,52.61
26,2021-01-27,30432.546875,1843.0,25.548,52.85
27,2021-01-28,33466.097656,1853.7,26.058,52.34
28,2021-01-29,34316.386719,1863.8,27.037,52.2
29,2021-01-30,34269.523438,1862.95,28.82,54.76
30,2021-01-31,33114.359375,1862.95,28.82,54.76
31,2021-02-01,33537.175781,1862.95,29.364,54.76
32,2021-02-02,35510.289063,1833.1,26.469,54.76
33,2021-02-03,37472.089844,1835.45,26.982,59.75
34,2021-02-04,36926.066406,1785.9,26.327,68.83
35,2021-02-05,38144.308594,1802.95,27.062,68.83
36,2021-02-06,39266.011719,1835.25,27.343,68.83
37,2021-02-07,38903.441406,1835.25,27.343,75.16
38,2021-02-08,46196.464844,1835.25,27.602,71.26
